"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,     -0.7209978145,       1.130260534,      -6.851458713,      -4.796497338
          0,           0,           1,     -0.5306133616,       2.515803803,       1.212246136,        -5.0829278
          0,           0,           2,      -1.105504576,       1.870599914,       1.058774295,      -5.101330636
          0,           0,           3,     -0.7902662976,        1.58309941,      0.8525747959,      -5.252230682
          0,           0,           4,      -1.160065877,       1.177579398,      0.5330933893,      -5.311645334
          0,           0,           5,      -1.424368425,       0.833806536,      0.3424108062,      -5.459874691
          0,           0,           6,       -1.58101146,      0.4912970905,      0.2540783716,      -5.734167593
          0,           0,           7,      -1.746309071,        0.52016838,        0.19115621,      -5.535892637
          0,           0,           8,      -1.767363286,      0.3835112136,     0.08597157803,      -5.304787906
          0,           0,           9,      -1.901555873,      0.2169966457,    -0.09705671673,      -5.122855404
          0,           0,          10,      -2.052409289,    -0.03244287167,     -0.1677396239,       -4.94976542
          0,           0,          11,      -2.119604119,     -0.1150310551,     -0.2152956375,      -4.792415005
          0,           0,          12,      -2.195421032,    -0.02333485498,      -0.238913011,      -4.583848196
          0,           0,          13,      -2.246965579,    -0.07913073571,     -0.2178270432,      -4.193001295
          0,           0,          14,      -2.353713617,     -0.2962414131,     -0.2321056435,      -3.956167596
          0,           0,          15,       -2.45718265,     -0.4957432771,     -0.2952785614,      -3.777374863
          0,           0,          16,      -2.507735408,     -0.4547609794,     -0.3734237351,      -3.621787639
          0,           0,          17,      -2.567524089,     -0.4292063421,     -0.4359923482,      -3.481352734
          0,           0,          18,      -2.630213373,     -0.5145812746,     -0.5037108275,       -3.71795876
          0,           0,          19,      -2.735837345,     -0.7419483421,     -0.5890782913,      -4.338161832
          0,           0,          20,      -2.826470284,     -0.8562373024,     -0.6598730306,      -4.436048022
          0,           0,          21,      -2.843379924,     -0.7522071892,     -0.7184270021,      -4.238250773
          0,           0,          22,      -2.879146602,     -0.7394915747,     -0.7753099931,      -3.903036269
          0,           0,          23,      -2.940196459,     -0.8546848312,     -0.8456716671,      -3.715144251
          0,           0,          24,      -3.033702707,      -1.132428216,     -0.9332140067,      -3.575112446
          0,           0,          25,      -3.108648765,       -1.18092621,      -1.024881233,        -3.4045044
          0,           0,          26,       -3.14117259,      -1.097859638,      -1.108903048,      -3.277614102
          0,           0,          27,       -3.20297009,      -1.148968233,      -1.192348764,      -3.204491637
          0,           0,          28,      -3.274391253,      -1.301720129,      -1.288571026,      -3.144905541
          0,           0,          29,      -3.327887396,      -1.392259735,       -1.39065471,      -3.031727516
          0,           0,          30,      -3.362801462,      -1.375614532,      -1.478225973,      -2.809394351
          0,           0,          31,      -3.392134379,      -1.318594033,      -1.533713078,      -2.702941715
          0,           0,          32,      -3.429623063,       -1.29176581,      -1.573108315,      -2.304029817
          0,           0,          33,      -3.465708073,      -1.348306886,      -1.616532429,      -2.069424706
          0,           0,          34,      -3.501698073,      -1.409831167,      -1.668107266,      -1.828051449
          0,           0,          35,      -3.538159758,      -1.383145037,      -1.719021571,      -1.638207993
          0,           0,          36,      -3.574710071,      -1.208642647,      -1.743458807,      -1.359024665
          0,           0,          37,      -3.610941535,     -0.9772772974,      -1.744813896,      -1.479353366
          0,           0,          38,       -3.64552287,      -1.025106822,      -1.802517721,      -1.693730174
          0,           0,          39,      -3.681518965,      -1.009450815,      -1.850284303,       -1.94328112
          0,           0,          40,      -3.719215413,      -1.041671308,      -1.879863904,      -2.079591903
          0,           0,          41,      -3.757998921,      -1.030313296,      -1.950452288,      -2.154001482
          0,           0,          42,      -3.796958918,      -1.025022318,      -2.017237087,      -2.423385144
          0,           0,          43,      -3.835365522,      -1.145955667,      -2.067302876,      -2.642873328
          0,           0,          44,      -3.872880791,      -1.269937533,      -2.098218954,      -3.114050679
          0,           0,          45,      -3.907521696,      -1.384342719,      -2.111906147,      -3.245808882
          0,           0,          46,      -3.941178561,      -1.471327094,       -2.11499879,      -3.515003417
          0,           0,          47,      -3.973751735,      -1.547596232,      -2.137674867,      -3.648077741
          0,           0,          48,      -4.007200069,      -1.598020867,      -2.168475802,      -3.729802795
          0,           0,          49,      -4.040608986,      -1.631948873,      -2.209703055,      -3.806764624
          0,           0,          50,      -4.073820249,      -1.661397595,      -2.255859982,      -3.852098043
