     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
     -0.7209978145,       1.130260534,      -6.851458713,      -4.798794783,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,   0.0005587953921,    -0.01245606919,                 0,                 0,                 0,   -0.006814253378,   0.0005587953921,    -0.01245606919,                 0,       -22.2909304
      -2.038909574,     -0.1023377071,     -0.2120819241,      -5.105043395,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,   0.0005023112211,    -0.07159284433,                 0,                 0,                 0,      -0.041663131,   0.0005023112211,    -0.07159284433,                 0,      -142.5268664
      -2.841621075,     -0.8330416433,     -0.7271156217,      -3.980917267,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,   0.0004725741825,    -0.04781735846,                 0,                 0,                 0,    -0.04983542779,   0.0004725741825,    -0.04781735846,                 0,      -101.1848726
      -3.327772209,      -1.370602587,      -1.465839005,      -3.528612612,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,   0.0004739143785,    -0.01147977152,                 0,                 0,                 0,    -0.01471727431,   0.0004739143785,    -0.01147977152,                 0,      -24.22330285
      -3.688493165,      -1.688983427,      -1.945496392,      -4.981247904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,   0.0006471975663,   -0.006075957909,                 0,                 0,                 0,   -0.006516477608,   0.0006471975663,   -0.006075957909,                 0,      -9.388103764
      -4.052501017,      -1.748938054,      -2.492339167,      -5.067255656,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,   0.0009438271973,   -0.003451004373,                 0,                 0,                 0,   -0.004077960729,   0.0009438271973,   -0.003451004373,                 0,      -3.656394288
      -4.403469817,       -1.76138022,      -2.727282782,      -5.095104014,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,      0.0012460911,   -0.002305889262,                 0,                 0,                 0,   -0.002972009289,      0.0012460911,   -0.002305889262,                 0,      -1.850498139
      -4.750160902,       -1.76569539,      -2.968674261,       -5.11705055,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.001493942613,   -0.001454392533,                 0,                 0,                 0,   -0.002301291434,    0.001493942613,   -0.001454392533,                 0,     -0.9735263724
      -5.065495027,      -1.767296795,       -3.11939647,      -5.135346768,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.001680985503,  -0.0008812932787,                 0,                 0,                 0,    -0.00186106074,    0.001680985503,  -0.0008812932787,                 0,       -0.52427179
      -5.332129409,      -1.767935749,      -3.273509067,      -5.151630545,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.001817145978,  -0.0004517837592,                 0,                 0,                 0,   -0.001548484313,    0.001817145978,  -0.0004517837592,                 0,     -0.2486227109
      -5.528607188,      -1.768161128,      -3.408251924,      -5.166496767,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.001914357347,  -0.0001295451422,                 0,                 0,                 0,   -0.001322116478,    0.001914357347,  -0.0001295451422,                 0,    -0.06767030326
      -5.663694724,      -1.768256309,      -3.535470101,      -5.180386962,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.001982792369,    0.000118507017,                 0,                 0,                 0,   -0.001155999324,    0.001982792369,    0.000118507017,                 0,     0.05976773908
      -5.742816211,       -1.76834047,      -3.646035951,      -5.193547778,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002030381393,   0.0003127982372,                 0,                 0,                 0,   -0.001032224205,    0.002030381393,   0.0003127982372,                 0,      0.1540588572
      -5.778955943,       -1.76846356,      -3.737291802,       -5.20615367,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002063065618,   0.0004679832871,                 0,                 0,                 0,  -0.0009387666758,    0.002063065618,   0.0004679832871,                 0,      0.2268387797
      -5.788692546,       -1.76864691,      -3.807118791,      -5.218331462,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,     0.00208519709,   0.0005939077933,                 0,                 0,                 0,  -0.0008676202932,     0.00208519709,   0.0005939077933,                 0,      0.2848209391
      -5.786531502,      -1.768898053,      -3.857229338,       -5.23017599,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002099924141,   0.0006975296878,                 0,                 0,                 0,  -0.0008133443798,    0.002099924141,   0.0006975296878,                 0,      0.3321689933
      -5.780242783,      -1.769219522,      -3.891567234,      -5.241756768,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002109506148,   0.0007839545999,                 0,                 0,                 0,   -0.000772021327,    0.002109506148,   0.0007839545999,                 0,      0.3716294454
      -5.773180555,      -1.769611921,      -3.914921226,      -5.253127347,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002115552927,   0.0008573475833,                 0,                 0,                 0,  -0.0007404424162,    0.002115552927,   0.0008573475833,                 0,      0.4052593401
      -5.766060611,      -1.770069118,      -3.930914034,      -5.264327585,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002119205975,   0.0009209912738,                 0,                 0,                 0,  -0.0007159883573,    0.002119205975,   0.0009209912738,                 0,      0.4345926185
       -5.75950062,      -1.770584238,      -3.943334794,      -5.275388953,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121264971,   0.0009772728333,                 0,                 0,                 0,  -0.0006966784124,    0.002121264971,   0.0009772728333,                 0,      0.4607028573
      -5.753543192,      -1.771160053,      -3.953719709,      -5.286341711,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122284415,    0.001027880925,                 0,                 0,                 0,  -0.0006810785194,    0.002122284415,    0.001027880925,                 0,      0.4843276037
      -5.748082184,      -1.771798379,      -3.962852397,       -5.29721041,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122647435,    0.001074043928,                 0,                 0,                 0,  -0.0006681478152,    0.002122647435,    0.001074043928,                 0,      0.5059926158
      -5.743004688,      -1.772500668,      -3.971202389,      -5.308013904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122617661,    0.001116665607,                 0,                 0,                 0,  -0.0006571194281,    0.002122617661,    0.001116665607,                 0,      0.5260794856
      -5.738215985,      -1.773268305,      -3.979006334,      -5.318771445,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122375278,    0.001156401759,                 0,                 0,                 0,  -0.0006474361976,    0.002122375278,    0.001156401759,                 0,      0.5448620564
      -5.733644933,       -1.77410221,      -3.986397463,      -5.329497999,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002122042414,    0.001193732751,                 0,                 0,                 0,  -0.0006386936442,    0.002122042414,    0.001193732751,                 0,      0.5625395341
      -5.729217941,       -1.77500282,      -3.993374926,       -5.34020591,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121700966,    0.001229017856,                 0,                 0,                 0,  -0.0006305975281,    0.002121700966,    0.001229017856,                 0,      0.5792606383
      -5.724923294,      -1.775968955,      -4.000025229,      -5.350906468,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121405129,    0.001262511502,                 0,                 0,                 0,  -0.0006229466791,    0.002121405129,    0.001262511502,                 0,      0.5951298433
      -5.720741445,      -1.777000321,      -4.006351826,      -5.361610415,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121189983,    0.001294408196,                 0,                 0,                 0,  -0.0006155965692,    0.002121189983,    0.001294408196,                 0,      0.6102273754
      -5.716660337,      -1.778096278,       -4.01235459,      -5.372326422,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121077513,    0.001324853368,                 0,                 0,                 0,  -0.0006084457658,    0.002121077513,    0.001324853368,                 0,      0.6246133674
       -5.71268411,      -1.779255398,      -4.018046688,      -5.383062624,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,           6494.46,    0.002121080863,    0.001353960543,                 0,                 0,                 0,  -0.0006014263392,    0.002121080863,    0.001353960543,                 0,      0.6383351844
