"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)"
           0,      -5.548183606,      -25.10076322,       -20.7125051,      -3.306016212,      -6.181411545,      -3.100643666,     0.06249465011,        0.06248899825,       5.651864748e-06
           1,      -5.655284334,      -5.433619503,      -4.538461277,      -3.087013836,      -5.902580896,       1.249471657,     0.04228031327,        0.04230143902,       -2.11257447e-05
           2,      -6.005205538,      -5.394053007,      -4.614529127,      -3.418568013,      -6.079066851,       1.449035846,     0.04704381587,        0.04697303701,       7.077886338e-05
           3,      -5.939213241,      -5.654627635,      -4.651754765,      -3.368294128,      -6.101149059,        0.84619615,     0.04638204877,        0.04618834418,       0.0001937045824
           4,      -6.018024449,      -5.718374812,      -4.660752853,      -3.543630928,      -6.191211781,      0.2440707916,     0.04519786178,        0.04489686958,       0.0003009921964
           5,       -6.25364969,      -5.733991747,      -4.893458495,      -3.591832472,      -6.236892025,     -0.3659563603,     0.04416042889,        0.04384182002,       0.0003186088707
           6,      -6.174195906,      -5.818902859,      -4.817182374,      -3.635617758,       -6.29528502,     -0.9413074366,     0.04378883946,        0.04352725298,       0.0002615864801
           7,      -6.261027278,      -5.930899165,       -4.91137233,      -3.739191229,       -6.35671823,      -1.440371532,     0.04376480702,         0.0435400592,       0.0002247478217
           8,      -6.311658734,      -5.918785002,      -4.963385986,      -3.722148185,      -6.401330744,       -1.86189906,     0.04379879998,        0.04356282657,       0.0002359734094
           9,      -6.307099622,      -6.013233321,      -4.968732353,      -3.782366284,      -6.448975882,      -2.196253896,      0.0437733084,        0.04350762037,       0.0002656880292
          10,      -6.353824697,      -6.053130507,      -5.016931435,      -3.805315944,      -6.483688622,      -2.367617607,     0.04373817287,        0.04345967275,       0.0002785001144
          11,      -6.363649807,      -6.052249014,      -5.028723492,      -3.817278207,      -6.508812996,      -2.505616636,     0.04375847596,        0.04349115321,       0.0002673227437
          12,      -6.361990529,      -6.080313609,      -5.029221629,      -3.840847092,      -6.526264602,      -2.703081742,     0.04383267203,        0.04357976921,       0.0002529028256
          13,      -6.377139142,      -6.097930976,      -5.044769403,      -3.852095867,      -6.536483659,      -2.717219151,     0.04391334856,        0.04366372239,       0.0002496261752
          14,      -6.380721131,      -6.116718801,      -5.050843203,      -3.869487889,      -6.541474385,      -2.710293588,     0.04396789303,         0.0437129251,       0.0002549679276
          15,      -6.393285583,      -6.136486499,      -5.066800577,      -3.887845397,      -6.542363403,      -2.736528804,     0.04399934862,        0.04374056748,       0.0002587811439
          16,      -6.392268643,      -6.133726706,       -5.06710658,      -3.897929914,      -6.539760082,      -2.730537168,      0.0440226977,        0.04376604903,       0.0002566486629
