"Eddy_Viscosity","Omega","Points:0","Points:1","Points:2","Pressure","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2"
7.218486e-17,1641619,-0.03676961,0.03676961,-0.104,23.20954,1e-10,0,0,0
7.218486e-17,1641619,0.03676961,0.03676961,-0.104,22.67034,1e-10,0,0,0
0.0006601471,365.6042,0.02573872,0.02573872,-0.104,22.69898,0.237649,0.0175325,-0.009629794,9.256305
0.0006633492,367.6954,-0.02573872,0.02573872,-0.104,23.18464,0.2398572,0.02432476,0.002439047,9.208293
0.000269031,155.6092,-0.0283126,-1.734723e-17,-0.104,23.23238,0.03533025,0.0364609,8.960041e-05,9.92241
1.664307e-16,712008.2,-0.05200008,1.047533e-15,-0.104,23.31892,1e-10,0,0,0
0.0002493711,129.4014,0.0283126,-1.734723e-17,-0.104,22.64581,0.02723153,0.0213237,-0.0001559603,9.992716
1.664307e-16,712008.2,0.05200008,1.045538e-15,-0.104,22.56191,1e-10,0,0,0
8.342942e-17,1420362,-0.03486006,0.03858476,-0.104,23.19563,1e-10,0,0,0
9.525001e-17,1244094,-0.03286103,0.04030087,-0.104,23.18137,1e-10,0,0,0
1.073863e-16,1103493,-0.03077765,0.04191353,-0.104,23.16642,1e-10,0,0,0
1.195915e-16,990873.1,-0.02861526,0.0434186,-0.104,23.1509,1e-10,0,0,0
1.316338e-16,900224.6,-0.02637942,0.04481221,-0.104,23.13483,1e-10,0,0,0
1.43297e-16,826953.6,-0.02407586,0.04609079,-0.104,23.11828,1e-10,0,0,0
1.543817e-16,767578.2,-0.0217105,0.04725105,-0.104,23.10123,1e-10,0,0,0
1.647056e-16,719465.4,-0.01928941,0.04829003,-0.104,23.08376,1e-10,0,0,0
1.741052e-16,680623,-0.0168188,0.04920504,-0.104,23.0659,1e-10,0,0,0
1.824355e-16,649544.6,-0.01430502,0.04999374,-0.104,23.0477,1e-10,0,0,0
1.895713e-16,625094.6,-0.01175452,0.05065411,-0.104,23.02921,1e-10,0,0,0
1.954074e-16,606425.4,-0.009173841,0.05118446,-0.104,23.01047,1e-10,0,0,0
1.99859e-16,592918.1,-0.006569616,0.05158341,-0.104,22.99152,1e-10,0,0,0
2.028623e-16,584139.9,-0.003948528,0.05184995,-0.104,22.97243,1e-10,0,0,0
2.043747e-16,579817.3,-0.001317303,0.05198339,-0.104,22.95322,1e-10,0,0,0
