"Eddy_Viscosity","Omega","Points:0","Points:1","Points:2","Pressure","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2"
7.2185e-17,1.6416e+06,-0.03677,0.03677,-0.104,23.793,1e-10,0,0,0
7.2185e-17,1.6416e+06,0.03677,0.03677,-0.104,23.259,1e-10,0,0,0
0.0017539,292.68,0.025739,0.025739,-0.104,23.283,0.43405,0.019696,-0.0061237,8.9901
0.0017631,291.46,-0.025739,0.025739,-0.104,23.769,0.43365,0.017972,0.0078204,8.9236
0.0016753,233.27,-0.028313,-1.7347e-17,-0.104,23.832,0.35595,0.02986,-0.00040414,9.5545
1.6643e-16,7.1201e+05,-0.052,1.0475e-15,-0.104,23.903,1e-10,0,0,0
0.0016112,227.7,0.028313,-1.7347e-17,-0.104,23.219,0.33849,0.038341,0.00036645,9.7396
1.6643e-16,7.1201e+05,0.052,1.0455e-15,-0.104,23.149,1e-10,0,0,0
8.3429e-17,1.4204e+06,-0.03486,0.038585,-0.104,23.779,1e-10,0,0,0
9.525e-17,1.2441e+06,-0.032861,0.040301,-0.104,23.765,1e-10,0,0,0
1.0739e-16,1.1035e+06,-0.030778,0.041914,-0.104,23.751,1e-10,0,0,0
1.1959e-16,9.9087e+05,-0.028615,0.043419,-0.104,23.735,1e-10,0,0,0
1.3163e-16,9.0022e+05,-0.026379,0.044812,-0.104,23.719,1e-10,0,0,0
1.433e-16,8.2695e+05,-0.024076,0.046091,-0.104,23.703,1e-10,0,0,0
1.5438e-16,7.6758e+05,-0.02171,0.047251,-0.104,23.686,1e-10,0,0,0
1.6471e-16,7.1947e+05,-0.019289,0.04829,-0.104,23.669,1e-10,0,0,0
1.7411e-16,6.8062e+05,-0.016819,0.049205,-0.104,23.651,1e-10,0,0,0
1.8244e-16,6.4954e+05,-0.014305,0.049994,-0.104,23.633,1e-10,0,0,0
1.8957e-16,6.2509e+05,-0.011755,0.050654,-0.104,23.615,1e-10,0,0,0
1.9541e-16,6.0643e+05,-0.0091738,0.051184,-0.104,23.596,1e-10,0,0,0
1.9986e-16,5.9292e+05,-0.0065696,0.051583,-0.104,23.577,1e-10,0,0,0
2.0286e-16,5.8414e+05,-0.0039485,0.05185,-0.104,23.558,1e-10,0,0,0
2.0437e-16,5.7982e+05,-0.0013173,0.051983,-0.104,23.539,1e-10,0,0,0
2.0437e-16,5.7982e+05,0.0013173,0.051983,-0.104,23.52,1e-10,0,0,0
2.0286e-16,5.8414e+05,0.0039485,0.05185,-0.104,23.501,1e-10,0,0,0
1.9986e-16,5.9292e+05,0.0065696,0.051583,-0.104,23.482,1e-10,0,0,0
1.9541e-16,6.0643e+05,0.0091738,0.051184,-0.104,23.463,1e-10,0,0,0
1.8957e-16,6.2509e+05,0.011755,0.050654,-0.104,23.444,1e-10,0,0,0
1.8244e-16,6.4954e+05,0.014305,0.049994,-0.104,23.425,1e-10,0,0,0
1.7411e-16,6.8062e+05,0.016819,0.049205,-0.104,23.407,1e-10,0,0,0
1.6471e-16,7.1947e+05,0.019289,0.04829,-0.104,23.388,1e-10,0,0,0
1.5438e-16,7.6758e+05,0.02171,0.047251,-0.104,23.371,1e-10,0,0,0
1.433e-16,8.2695e+05,0.024076,0.046091,-0.104,23.353,1e-10,0,0,0
1.3163e-16,9.0022e+05,0.026379,0.044812,-0.104,23.336,1e-10,0,0,0
1.1959e-16,9.9087e+05,0.028615,0.043419,-0.104,23.319,1e-10,0,0,0
1.0739e-16,1.1035e+06,0.030778,0.041914,-0.104,23.303,1e-10,0,0,0
9.525e-17,1.2441e+06,0.032861,0.040301,-0.104,23.288,1e-10,0,0,0
8.3429e-17,1.4204e+06,0.03486,0.038585,-0.104,23.273,1e-10,0,0,0
0.0016805,315.74,0.026896,0.026896,-0.104,23.277,0.44777,0.018809,-0.0064907,8.8368
0.0015871,343.29,0.027938,0.027938,-0.104,23.273,0.45978,0.018016,-0.0068641,8.6878
0.0014838,375.65,0.028876,0.028876,-0.104,23.27,0.47038,0.017325,-0.0072338,8.5416
0.0013754,413.32,0.02972,0.02972,-0.104,23.267,0.47973,0.01673,-0.0076052,8.3973
0.0012654,456.97,0.030479,0.030479,-0.104,23.265,0.48797,0.016226,-0.0079796,8.2542
0.0011564,507.48,0.031163,0.031163,-0.104,23.264,0.49522,0.015804,-0.0083585,8.1116
0.0010503,565.93,0.031778,0.031778,-0.104,23.262,0.50159,0.015457,-0.008743,7.9689
0.00094834,633.69,0.032332,0.032332,-0.104,23.261,0.50713,0.01518,-0.0091337,7.8255
0.00085147,712.43,0.03283,0.03283,-0.104,23.26,0.51191,0.014967,-0.0095313,7.6807
0.00076019,804.28,0.033279,0.033279,-0.104,23.26,0.51595,0.014811,-0.0099364,7.5341
0.00067475,911.93,0.033682,0.033682,-0.104,23.259,0.51926,0.014709,-0.010349,7.3848
0.00059526,1038.8,0.034045,0.034045,-0.104,23.259,0.52183,0.014656,-0.01077,7.2322
0.00052166,1189.5,0.034372,0.034372,-0.104,23.259,0.52363,0.014647,-0.011198,7.0754
0.0004538,1369.9,0.034667,0.034667,-0.104,23.259,0.52459,0.014678,-0.011632,6.9134
0.00039149,1587.9,0.034931,0.034931,-0.104,23.258,0.52461,0.014745,-0.012071,6.7451
0.00033449,1854.7,0.03517,0.03517,-0.104,23.258,0.52353,0.014843,-0.012512,6.5688
0.00028252,2185.8,0.035384,0.035384,-0.104,23.258,0.52113,0.014965,-0.012952,6.3827
0.00023534,2603.6,0.035577,0.035577,-0.104,23.258,0.51708,0.015105,-0.013386,6.1842
0.00019268,3141.9,0.035751,0.035751,-0.104,23.258,0.51087,0.015253,-0.013804,5.9701
0.00015431,3853,0.035907,0.035907,-0.104,23.258,0.50175,0.015394,-0.014194,5.7356
0.00012004,4822,0.036048,0.036048,-0.104,23.258,0.48847,0.015508,-0.014537,5.4741
8.933e-05,6195.7,0.036175,0.036175,-0.104,23.258,0.46882,0.015562,-0.014799,5.1753
6.2072e-05,8240.9,0.036289,0.036289,-0.104,23.258,0.43848,0.015501,-0.014927,4.8218
3.9326e-05,11462,0.036391,0.036391,-0.104,23.258,0.3898,0.015222,-0.014815,4.386
