"Eddy_Viscosity","Omega","Points:0","Points:1","Points:2","Pressure","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2"
7.2184856e-17,1641618.6,-0.036769606,0.036769606,-0.104,23.496586,1e-10,0,0,0
7.2184856e-17,1641618.6,0.036769606,0.036769606,-0.104,22.999283,1e-10,0,0,0
0.0021029043,266.53595,0.025738724,0.025738724,-0.104,23.022156,0.47299537,0.017337961,-0.0017778496,9.1091728
0.0020996658,264.75119,-0.025738724,0.025738724,-0.104,23.472557,0.46910468,0.015577094,0.0039000683,9.0081177
0.0026115049,190.74329,-0.028312596,-1.7347235e-17,-0.104,23.532537,0.42036036,0.029508621,-0.00043362333,9.5118828
1.6643066e-16,712008.25,-0.052000076,1.0475325e-15,-0.104,23.600315,1e-10,0,0,0
0.0026316869,182.74707,0.028312596,-1.7347235e-17,-0.104,22.959482,0.40585059,0.03784243,0.00037918819,9.7071676
1.6643066e-16,712008.25,0.052000076,1.0455384e-15,-0.104,22.89521,1e-10,0,0,0
8.3429417e-17,1420362.4,-0.034860063,0.038584761,-0.104,23.483868,1e-10,0,0,0
9.5250006e-17,1244094.4,-0.032861032,0.040300872,-0.104,23.470724,1e-10,0,0,0
1.0738625e-16,1103493.1,-0.03077765,0.041913532,-0.104,23.456953,1e-10,0,0,0
1.195915e-16,990873.12,-0.028615262,0.043418597,-0.104,23.442646,1e-10,0,0,0
1.3163382e-16,900224.62,-0.026379419,0.04481221,-0.104,23.427839,1e-10,0,0,0
1.4329704e-16,826953.56,-0.02407586,0.046090789,-0.104,23.412539,1e-10,0,0,0
1.5438165e-16,767578.25,-0.021710498,0.047251053,-0.104,23.396795,1e-10,0,0,0
1.6470562e-16,719465.38,-0.019289408,0.048290025,-0.104,23.380657,1e-10,0,0,0
1.7410519e-16,680623,-0.016818799,0.049205039,-0.104,23.364161,1e-10,0,0,0
1.8243552e-16,649544.56,-0.014305019,0.049993742,-0.104,23.347353,1e-10,0,0,0
1.8957131e-16,625094.62,-0.011754517,0.050654113,-0.104,23.330273,1e-10,0,0,0
1.9540736e-16,606425.44,-0.0091738412,0.051184457,-0.104,23.312965,1e-10,0,0,0
1.9985899e-16,592918.06,-0.0065696165,0.051583409,-0.104,23.295471,1e-10,0,0,0
2.0286234e-16,584139.94,-0.0039485279,0.051849946,-0.104,23.277836,1e-10,0,0,0
2.0437472e-16,579817.31,-0.001317303,0.051983386,-0.104,23.260098,1e-10,0,0,0
2.0437472e-16,579817.31,0.001317303,0.051983386,-0.104,23.242306,1e-10,0,0,0
2.0286234e-16,584139.94,0.0039485279,0.051849946,-0.104,23.224501,1e-10,0,0,0
1.9985899e-16,592918.06,0.0065696165,0.051583409,-0.104,23.206728,1e-10,0,0,0
1.9540736e-16,606425.44,0.0091738412,0.051184457,-0.104,23.18903,1e-10,0,0,0
1.8957131e-16,625094.62,0.011754517,0.050654113,-0.104,23.171457,1e-10,0,0,0
1.8243552e-16,649544.56,0.014305019,0.049993742,-0.104,23.154049,1e-10,0,0,0
1.7410519e-16,680623,0.016818799,0.049205039,-0.104,23.136858,1e-10,0,0,0
1.6470562e-16,719465.38,0.019289408,0.048290025,-0.104,23.119926,1e-10,0,0,0
1.5438165e-16,767578.25,0.021710498,0.047251053,-0.104,23.103302,1e-10,0,0,0
1.4329704e-16,826953.56,0.02407586,0.046090789,-0.104,23.087034,1e-10,0,0,0
1.3163382e-16,900224.62,0.026379419,0.04481221,-0.104,23.071169,1e-10,0,0,0
1.195915e-16,990873.12,0.028615262,0.043418597,-0.104,23.055769,1e-10,0,0,0
1.0738625e-16,1103493.1,0.03077765,0.041913532,-0.104,23.040857,1e-10,0,0,0
9.5250006e-17,1244094.4,0.032861032,0.040300872,-0.104,23.026464,1e-10,0,0,0
8.3429417e-17,1420362.4,0.034860063,0.038584761,-0.104,23.012661,1e-10,0,0,0
0.0019517629,293.68005,0.026896337,0.026896337,-0.104,23.016958,0.48370779,0.016092179,-0.0021126622,8.9717054
0.0018001305,324.8522,0.027938189,0.027938189,-0.104,23.013031,0.49348214,0.015006562,-0.0024648577,8.8345356
0.001651327,360.45419,0.028875856,0.028875856,-0.104,23.009861,0.50230187,0.014062725,-0.0028105304,8.6973133
0.0015074348,401.09415,0.029719755,0.029719755,-0.104,23.007349,0.51023048,0.013252006,-0.0031583952,8.5597973
0.0013697979,447.54614,0.030479265,0.030479265,-0.104,23.005356,0.51733983,0.012562021,-0.0035100894,8.4216928
0.0012392767,500.75464,0.031162824,0.031162824,-0.104,23.003782,0.52369076,0.011981516,-0.0038678509,8.2826729
0.0011163739,561.87061,0.031778026,0.031778026,-0.104,23.002542,0.52933133,0.011500265,-0.0042333212,8.1423845
0.0010013223,632.30511,0.032331713,0.032331713,-0.104,23.001575,0.53429633,0.011109149,-0.0046078712,8.0004396
0.00089415349,713.80298,0.032830026,0.032830026,-0.104,23.000822,0.53860706,0.010800092,-0.0049926145,7.8564019
0.00079475116,808.54297,0.03327851,0.03327851,-0.104,23.000244,0.54227036,0.010565939,-0.0053884313,7.7097816
0.00070289354,919.27704,0.033682141,0.033682141,-0.104,22.999804,0.54527748,0.010400332,-0.0057959612,7.5600123
0.00061828562,1049.5271,0.034045413,0.034045413,-0.104,22.999472,0.54760116,0.010297553,-0.0062155779,7.4064331
0.00054058561,1203.8669,0.03437236,0.03437236,-0.104,22.999229,0.54919249,0.010252374,-0.0066473475,7.2482557
0.00046942531,1388.3373,0.034666609,0.034666609,-0.104,22.999056,0.54997516,0.010259897,-0.0070909625,7.0845251
0.00040442593,1611.0662,0.034931432,0.034931432,-0.104,22.998934,0.54983699,0.010315363,-0.007545637,6.9140615
0.00034521104,1883.2263,0.035169777,0.035169777,-0.104,22.998857,0.54861641,0.010413921,-0.0080099516,6.7353816
0.00029141648,2220.5508,0.035384282,0.035384282,-0.104,22.998812,0.54608017,0.01055032,-0.0084816059,6.5465794
0.00024269852,2645.8206,0.035577342,0.035577342,-0.104,22.998791,0.54188752,0.010718461,-0.0089570181,6.3451505
0.00019874118,3193.1033,0.035751093,0.035751093,-0.104,22.998789,0.53552836,0.010910681,-0.0094306478,6.1277227
0.00015926333,3915.3167,0.03590747,0.03590747,-0.104,22.9988,0.52621633,0.011116553,-0.0098938206,5.8896217
0.00012402784,4898.4438,0.036048207,0.036048207,-0.104,22.998819,0.51269478,0.011320724,-0.010332601,5.6241474
9.2633702e-05,6290.3677,0.036174871,0.036174871,-0.104,22.998846,0.4927718,0.011499085,-0.010723771,5.3210554
6.4564098e-05,8361.9062,0.036288872,0.036288872,-0.104,22.998877,0.46204451,0.011611046,-0.011026921,4.9629312
4.1059189e-05,11627.797,0.036391471,0.036391471,-0.104,22.998905,0.41265237,0.011579278,-0.011164374,4.5214458
2.246143e-05,17154.963,0.036483809,0.036483809,-0.104,22.998928,0.33116063,0.011249078,-0.010980175,3.953445
8.5590054e-06,27717.488,0.036566913,0.036566913,-0.104,22.998936,0.20019764,0.010310116,-0.010162332,3.1903102
1.217971e-06,55143.555,0.036641706,0.036641706,-0.104,22.998959,0.056677863,0.0082263779,-0.0081692915,2.1784935
3.2092917e-08,187308.59,0.036709022,0.036709022,-0.104,22.998981,0.0050728098,0.0046721287,-0.0046690544,1.0526745
0.0022006629,250.54041,0.024078161,0.025738724,-0.104,23.033937,0.46527842,0.018317761,-0.0016412719,9.1953745
0.002287219,237.07286,0.022417597,0.025738724,-0.104,23.04607,0.45758441,0.019240052,-0.0014736297,9.2729979
0.0023632168,225.71259,0.020757036,0.025738724,-0.104,23.058773,0.45013312,0.020093566,-0.0012859131,9.3429337
0.0024295519,216.06841,0.019096473,0.025738724,-0.104,23.071997,0.44299522,0.020872131,-0.0010762758,9.4058714
0.0024870073,207.85043,0.01743591,0.025738724,-0.104,23.085716,0.43622404,0.021572853,-0.00084755529,9.4623079
0.0025363502,200.83701,0.015775347,0.025738724,-0.104,23.099894,0.42986745,0.022193829,-0.00060246704,9.5126095
0.0025783314,194.85753,0.014114784,0.025738724,-0.104,23.114489,0.42397231,0.022733999,-0.00034393827,9.5570488
0.0026136725,189.78056,0.012454221,0.025738724,-0.104,23.129465,0.41858581,0.02319291,-7.4971715e-05,9.5958204
0.0026430513,185.50525,0.010793658,0.025738724,-0.104,23.144772,0.41375515,0.023570655,0.00020139749,9.6290665
0.0026670976,181.95367,0.0091330959,0.025738724,-0.104,23.160372,0.40952587,0.023867847,0.00048213638,9.6568832
0.002686373,179.06665,0.0074725328,0.025738724,-0.104,23.176212,0.40594074,0.0240856,0.00076425122,9.6793346
